slug,status,lines
lorem-ipsum-generator,working,85
punctuation-fixer,working,40
text-statistics,working,76
json-to-markdown-table,working,93
css-class-generator,working,131
robots-txt-generator,working,337
security-headers-generator,working,576
xml-sitemap-generator,working,295
image-alt-text-generator,working,196
color-palette-generator,working,298
image-aspect-ratio-calculator,working,60
hash-from-text,working,88
url-parameter-extractor,working,156
word-counter,working,41
character-counter,working,43
remove-duplicate-lines,working,122
case-converter,working,106
grammar-checker,working,118
readability-score,working,106
json-formatter,working,125
json-ld-generator,working,667
url-encode,working,84
image-cropper,working,217
square-crop,working,254
circle-crop,working,340
image-format-converter,working,352
favicon-generator,working,129
image-resizer,working,131
uuid-generator,working,132
markdown-to-html,working,103
yaml-to-json,working,114
json-to-yaml,working,78
html-encoder,working,49
cron-parser,working,421
cors-header-generator,working,974
sha-256-hash,working,91
screen-resolution-tester,working,167
url-slug-generator,working,157
regex-tester,working,193
jwt-decoder,working,193
cron-generator,working,179
http-headers-viewer,working,107
htaccess-redirect-generator,working,137
meta-tag-generator,working,163
serp-preview,working,130
color-picker,working,166
contrast-checker,working,86
unit-converter,working,96
number-base-converter,working,127
percentage-calculator,working,311
css-border-radius-generator,working,287
sass-to-css,working,103
css-gradient-generator,working,275
xml-formatter,working,170
sql-prettifier,working,113
js-minifier,working,203
css-preview,placeholder,11
color-mixer,working,366
gradient-generator,placeholder,11
qr-code-generator,working,136
image-compressor,working,203
password-generator,working,168
text-diff,working,58
password-strength-checker,working,83
barcode-generator,working,225
random-number-generator,working,119
list-randomizer,working,69
fake-data-generator,working,72
hash-identifier,working,158
uptime-calculator,working,77
json-to-typescript,working,204
random-string-generator,working,181
url-parser,working,148
text-to-slug,working,77
binary-to-text,working,90
percentage-difference,working,72
age-calculator,working,114
countdown-timer,working,125
color-blindness-simulator,working,247
html-to-markdown,working,129
json-path-tester,working,169
xml-to-json,working,129
json-to-xml,working,160
css-validator,working,140
html-validator,working,239
text-to-handwriting,working,52
email-validator,working,82
credit-card-validator,working,57
random-uuid-v7,working,166
random-ip-address,working,78
json-schema-validator,working,317
slug-permalink-checker,working,67
keyword-density-checker,working,73
slideshow-generator,working,67
plain-text-counter,working,62
anagram-generator,working,141
quote-of-the-day,working,67
morse-code-translator,working,64
unix-timestamp-converter,working,88
email-generator,working,218
time-zone-converter,working,205
random-fraction-generator,working,83
rot47-cipher,working,75
hash-collision-finder,placeholder,11
semver-checker,working,62
ipv6-generator,working,100
mac-address-generator,working,84
html-table-generator,working,156
base64-image-converter,working,208
image-metadata-viewer,working,131
color-harmony-generator,working,93
open-graph-preview,working,213
twitter-card-preview,working,67
plagiarism-checker,working,67
unicode-character-inspector,working,104
homoglyph-detector,working,286
shell-command-reference,working,67
api-endpoint-tester,working,245
user-agent-parser,working,54
ssl-certificate-checker,working,80
physics-constants-reference,working,67
text-sorter,working,101
emoji-finder,working,165
placeholder-image-generator,working,60
image-color-picker,working,139
hsl-to-hex,working,332
slug-generator,working,57
csv-to-json,working,99
timestamp-converter,working,84
word-density-analyzer,working,44
json-diff,working,53
json-schema-generator,working,53
graphql-playground,placeholder,11
websocket-tester,placeholder,10
ping-test,working,64
ldap-filter-generator,placeholder,10
ipa-phonetic-finder,placeholder,10
speech-to-text,working,61
csv-to-tsv,working,67
tsv-to-csv,working,67
english-grammar-checker,working,87
typo-checker,working,260
regex-pattern-generator,working,67
json-to-go-struct,working,53
svg-minifier,working,60
css-to-scss,placeholder,11
image-blur-hash-generator,working,60
xml-sitemap-parser,working,53
robots-txt-analyzer,working,45
hsl-to-rgb,working,73
roman-numeral-converter,working,69
fraction-to-decimal,working,88
word-frequency-counter,working,61
palindrome-checker,working,62
reading-time-calculator,working,75
syllable-counter,working,177
url-encoder,placeholder,10
image-to-base64,working,67
keyword-extractor,working,67
hex-to-hsl,working,108
rgba-to-hex,working,52
length-converter,working,76
weight-converter,working,74
sticky-notes,working,187
word-association,working,123
fake-text-generator,working,94
duplicate-line-finder,working,88
env-parser,placeholder,11
json-to-typescript-interface,working,53
svg-favicon-generator,working,60
image-optimizer,working,278
broken-link-checker,working,111
google-algorithm-tracker,placeholder,11
color-name-finder,working,98
currency-converter,working,241
ascii-art-generator,working,134
encodings-reference,placeholder,11
http-status-codes,working,63
mime-types-reference,placeholder,10
css-grid-generator,placeholder,11
css-flexbox-generator,placeholder,11
json-editor,working,67
toml-to-json,working,133
json-to-csv,working,101
regex-cheatsheet,working,53
docker-command-generator,working,255
code-diff,working,127
yaml-validator,working,151
json-tree-view,working,67
html-entity-encoder,working,78
css-variable-generator,placeholder,11
md5-hash-generator,placeholder,10
sha1-hash-generator,placeholder,10
sha256-hash-generator,placeholder,10
argon2-hash-generator,working,88
bcrypt-hash-generator,working,141
scrypt-hash-generator,placeholder,10
yaml-to-toml,working,53
srt-to-json,working,53
text-permutation-generator,working,82
hash-diff-checker,placeholder,11
uuid-v1-generator,working,176
broken-image-checker,working,78
color-tint-generator,working,40
number-to-words,working,77
sla-uptime-calculator,placeholder,10
html-live-preview,working,38
json-to-url-encoded,working,53
color-palette-extractor,working,96
lorem-ipsum-detector,working,44
meta-description-checker,working,79
word-cloud-generator,working,67
text-redundancy-checker,working,112
line-counter,working,73
english-dictionary,placeholder,11
json-to-python,working,134
code-beautifier,working,460
png-to-ico,working,52
xml-validator,working,37
css-to-tailwind,placeholder,11
sql-to-json,working,224
robots-txt-tester,working,45
domain-age-checker,placeholder,11
sitemap-html-generator,working,45
color-tone-generator,working,41
hex-to-cmyk,working,106
data-uri-generator,placeholder,11
paragraph-lorem-ipsum,working,44
sentence-lorem-ipsum,working,44
accessibility-checker,working,247
sitemap-analyzer,working,250
svg-optimizer,working,60
webp-converter,working,187
png-to-jpg,working,52
color-format-picker,working,150
whois-lookup,working,108
text-highlighter,working,67
sitemap-xml-validator,working,53
word-combinations-generator,working,67
sentiment-analyzer,working,67
english-collocations-checker,placeholder,11
article-title-generator,working,101
json-to-php-array,working,53
html-to-jsx,working,79
